date,category,helpful_votes
2023-01-01,research repository,19
2023-01-05,user research,40
2023-01-06,collaborative whiteboard,5
2023-01-07,user research,26
2023-01-08,collaborative whiteboard,13
2023-01-10,collaborative whiteboard,21
2023-01-12,field research,10
2023-01-13,collaborative whiteboard,26
2023-01-13,user research,18
2023-01-13,collaborative whiteboard,23
2023-01-15,collaborative whiteboard,20
2023-01-17,field research,11
2023-01-17,field research,15
2023-01-22,collaborative whiteboard,37
2023-01-22,research repository,43
2023-01-23,user research,4
2023-01-30,user research,11
2023-01-31,user research,17
2023-02-03,field research,11
2023-02-06,collaborative whiteboard,35
2023-02-07,user research,41
2023-02-08,usability testing,3
2023-02-10,user research,39
2023-02-12,collaborative whiteboard,20
2023-02-15,usability testing,0
2023-02-15,usability testing,36
2023-02-15,field research,0
2023-02-17,field research,20
2023-02-19,field research,15
2023-02-19,field research,24
2023-02-23,usability testing,9
2023-02-23,usability testing,40
2023-02-23,user research,6
2023-02-23,field research,11
2023-02-25,collaborative whiteboard,43
2023-02-26,user research,7
2023-02-27,collaborative whiteboard,8
2023-02-27,research repository,14
2023-03-01,field research,15
2023-03-03,research repository,39
2023-03-05,research repository,45
2023-03-05,usability testing,42
2023-03-06,collaborative whiteboard,45
2023-03-06,research repository,36
2023-03-08,collaborative whiteboard,35
2023-03-09,collaborative whiteboard,8
2023-03-11,collaborative whiteboard,22
2023-03-12,user research,15
2023-03-12,usability testing,30
2023-03-12,collaborative whiteboard,26
2023-03-17,collaborative whiteboard,28
2023-03-17,field research,24
2023-03-18,research repository,10
2023-03-18,usability testing,12
2023-03-18,user research,46
2023-03-19,field research,37
2023-03-20,usability testing,32
2023-03-22,user research,32
2023-03-22,field research,32
2023-03-24,usability testing,31
2023-03-25,research repository,33
2023-03-25,user research,30
2023-03-26,collaborative whiteboard,36
2023-03-28,research repository,15
2023-03-29,collaborative whiteboard,15
2023-03-29,collaborative whiteboard,39
2023-03-29,usability testing,6
2023-03-31,field research,37
2023-03-31,user research,18
2023-04-02,collaborative whiteboard,41
2023-04-03,usability testing,10
2023-04-04,research repository,14
2023-04-04,usability testing,45
2023-04-06,usability testing,46
2023-04-06,field research,21
2023-04-08,collaborative whiteboard,33
2023-04-08,usability testing,2
2023-04-10,field research,3
2023-04-11,usability testing,14
